8812.5,8655.8,8856.7,8582.3,8812500,1.81%
8962.5,8812.2,9332,8771.1,8962500,1.70%
9318.8,8961,9438.1,8959.8,9318800,3.98%
9080.6,9318.9,9336.1,8962.7,9080600,-2.56%
9255.4,9080.7,9295.1,9044,9255400,1.93%
9517,9255,9583.9,9188.4,9517000,2.83%
10179.3,9517.7,10184.3,9517.4,10179300,6.96%
10721.7,10178.1,11160.5,10031.3,10721700,5.33%
10897.1,10721.5,11361.3,10557.8,10897100,1.64%
11046.4,10897.3,11114.4,10622.6,11046400,1.37%
11809.9,11046.6,11833.9,11033.7,11809900,6.91%
13063.8,11811.6,13929.8,11747.3,13063800,10.62%
11287.8,13062.4,13422,10493.5,11287800,-13.59%
12409.1,11288.4,12461.8,10970.5,12409100,9.93%
11906.5,12408,12422.9,11490.8,11906500,-4.05%
10818.6,11906,12179.3,10765.4,10818600,-9.14%
10616.6,10821.4,11254.5,10041.6,10616600,-1.87%
10835.9,10615.5,10923.5,9728.5,10835900,2.07%
11900.8,10835.9,11931.8,10835.9,11900800,9.83%
11163.1,11899.3,11948,11087.1,11163100,-6.20%
10970.2,11159.7,11381.8,10810.3,10970200,-1.73%
11268,10969.8,11650.2,10967.9,11268000,2.71%
11415.9,11267.9,11524.6,11108.1,11415900,1.31%
12252.6,11415.8,12332.3,11304.8,12252600,7.33%
12541.5,12250.6,12772.9,12111.2,12541500,2.36%
12110.6,12542.8,13134.4,11594.9,12110600,-3.44%
11342.3,12111.6,12111.6,11029,11342300,-6.34%
11762.1,11343.7,11881.4,11109.8,11762100,3.70%
11364.9,11762.8,11798.4,10839.4,11364900,-3.38%
10200.1,11364.3,11448.7,10128.9,10200100,-10.25%
10845.9,10199.9,11064.7,9885.4,10845900,6.33%
9424.8,10844,11019.5,9375.3,9424800,-13.10%
9723.2,9425.1,9983.6,9082.6,9723200,3.17%
10651.4,9723.1,10787.1,9390,10651400,9.55%
10571.5,10651.6,10758.4,10160.7,10571500,-0.75%
10826.7,10571.9,11155.6,10462,10826700,2.41%
10714.4,10827,10883.8,10442.5,10714400,-1.04%
10412.5,10715.1,10806.3,10196.5,10412500,-2.82%
9888.7,10412.8,10414.7,9865.4,9888700,-5.03%
9804.3,9887.2,9945.3,9584,9804300,-0.85%
9945.3,9804.7,10203.5,9776.6,9945300,1.44%
9831,9945.2,10436.1,9724.2,9831000,-1.15%
9492.1,9830.4,10232.3,9389.1,9492100,-3.45%
9727.8,9491.1,9798.5,9401.1,9727800,2.48%
9580.9,9728.5,9835.4,9502.5,9580900,-1.51%
9580.7,9580,9703,9483,9580700,0.00%
10082,9580.3,10100,9562.4,10082000,5.23%
10380,10081.9,10459,9890.6,10380000,2.96%
10520.1,10380.5,10664.8,10330.5,10520100,1.35%
10815.7,10519.9,10893.6,10504.5,10815700,2.81%
10934.6,10816.1,11017.7,10568.8,10934600,1.10%
11816.8,10934.8,11922.3,10934.8,11816800,8.07%
11480.9,11817.6,12291.9,11237,11480900,-2.84%
12013.9,11481,12114.5,11406.4,12013900,4.64%
12191.6,12015.9,12236.6,11727,12191600,1.48%
12089.8,12190,12225.3,11885,12089800,-0.84%
11314.5,12090.5,12185,11281.6,11314500,-6.41%
11517.2,11314.6,11728.4,11146.1,11517200,1.79%
11394.2,11505.1,11508.6,11267.3,11394200,-1.07%
10892.9,11395,11445.6,10793.2,10892900,-4.40%
10049.4,10894.2,10894.5,9965.5,10049400,-7.74%
10303.4,10053.3,10448.2,9580.1,10303400,2.53%
10335.6,10300.9,10734,9788.6,10335600,0.31%
10218.1,10335.5,10460.7,10016.3,10218100,-1.14%
10312.7,10219.3,10494.9,10086.7,10312700,0.93%
10910.7,10312.8,10923.9,10267.8,10910700,5.80%
10752.6,10911.2,10941.6,10581,10752600,-1.45%
10141.5,10753.3,10797.8,9908,10141500,-5.68%
10105,10141.1,10218.2,9777,10105000,-0.36%
10388.7,10104.9,10434.3,9921.4,10388700,2.81%
10131,10389.4,10415.9,9917.5,10131000,-2.48%
10136.3,10132.1,10307,9935.2,10136300,0.05%
10371.8,10136,10568.2,10136,10371800,2.32%
10184.8,10372.2,10387.6,10060.2,10184800,-1.80%
9729.4,10184.7,10271.3,9629.6,9729400,-4.47%
9491,9729.1,9729.1,9343,9491000,-2.45%
9585.4,9494.1,9675.7,9370.2,9585400,0.99%
9594.4,9585.5,9677.5,9457.3,9594400,0.09%
9729.3,9594.7,9799.5,9533.6,9729300,1.41%
10348.8,9728.8,10431.5,9720.3,10348800,6.37%
10612.3,10348.1,10756.8,10283.5,10612300,2.55%
10568.2,10611.6,10783.6,10388.6,10568200,-0.42%
10566.9,10567.8,10630.7,10469.9,10566900,-0.01%
10309.3,10566.7,10896.2,10227.4,10309300,-2.44%
10461.1,10306.9,10556.4,10302.3,10461100,1.47%
10402.8,10461.6,10578,10266.3,10402800,-0.56%
10309,10402.1,10478,10095.7,10309000,-0.90%
10105.4,10308.7,10379.8,9970.7,10105400,-1.98%
10162.5,10104.9,10257.5,9908.9,10162500,0.57%
10415.1,10162.4,10447.9,10051,10415100,2.49%
10342.1,10415.2,10441.4,10174.1,10342100,-0.70%
10337.3,10342.2,10421.4,10253.7,10337300,-0.05%
10311.5,10337.3,10360.4,10272,10311500,-0.25%
10255.5,10311.3,10360.5,10108.5,10255500,-0.54%
10195.7,10254.6,10273.6,10153.5,10195700,-0.58%
10164.7,10195.7,10257.5,10119.3,10164700,-0.30%
10250.5,10164.6,10297.6,9707.6,10250500,0.84%
10172.7,10251.5,10279.5,10088.6,10172700,-0.76%
9993,10172.8,10177.9,9939.8,9993000,-1.77%
10031.6,9993,10075,9870.9,10031600,0.39%
9702.2,10031.3,10048.8,9656.3,9702200,-3.28%
8513.9,9702.7,9793.8,8069.4,8513900,-12.25%
8432.4,8512.3,8729.8,8245.1,8432400,-0.96%
8063.8,8432.5,8463.1,7773.6,8063800,-4.37%
8184.9,8063.8,8257.4,7882.1,8184900,1.50%
8208.5,8184.5,8297.2,8031.1,8208500,0.29%
8049.1,8208,8226.8,7922.1,8049100,-1.94%
8284.3,8048.9,8318.5,7749,8284300,2.92%
8302.7,8285,8486.2,8187.9,8302700,0.22%
8364.1,8302.7,8374,8167.7,8364100,0.74%
8226.9,8363.6,8391.7,8090.1,8226900,-1.64%
8148.1,8227.6,8233.6,8041.4,8148100,-0.96%
8127.3,8148,8185.1,8030.6,8127300,-0.25%
7881.9,8127.3,8145.5,7834.9,7881900,-3.02%
8198.6,7882.6,8293.5,7797,8198600,4.02%
8182.9,8198.5,8323.1,8118.1,8182900,-0.19%
8566.7,8180.1,8655.9,8122.7,8566700,4.69%
8562.3,8566.8,8638.5,8438.7,8562300,-0.05%
8267.8,8562.2,8751.1,8249.7,8267800,-3.44%
8304.4,8267.6,8394.8,8260.9,8304400,0.44%
8281.5,8304.3,8450.2,8190.6,8281500,-0.28%
8353.3,8281.3,8374.3,8222.2,8353300,0.87%
